State,Average Crime Rate,Labor Force,Unemployed,Total State Tax,Annual Home Price,Annual Wages per Employee,Crime Rate / Labor Force,Unemployed / Labor Force,Crime Rate WSA,Labor Force WSA,Unemployed WSA,Total State Tax WSA,Home Price WSA,Wages WSA,Total WSA
AZ,353,3439758,166205,16293917.0,240816.67,37922.0,0.010262349851355821,4.831880614857208,0.9489247311827956,0.029553909401546903,3.0034515161371935,1.6541379343250902,0.39513769792435804,0.1420267709339865,6.173232559904971
MD,378,3197137,125484,22427037.0,308441.67,34346.0,0.011823077960062394,3.9248865469324588,1.0161290322580645,0.027469344425489664,2.2675918898406158,2.2767645530667897,0.5060984001968988,0.12863381347235642,6.222687033260215
WA,205,3793095,170797,26574889.0,337216.67,33883.0,0.005404557491968959,4.502840029052792,0.5510752688172043,0.032589730434949366,3.0864324695507603,2.697849264567787,0.5533131019771925,0.12689977004262076,7.048159605390514
MA,392,3805451,127049,29654803.0,382825.0,42472.0,0.010301012941698632,3.338605594974157,1.053763440860215,0.03269589142202041,2.295872637247461,3.010518255201465,0.6281483304618918,0.1590675864961836,7.180066141689236
GA,296,5107673,201255,23602510.0,157400.0,26552.0,0.005795202629455723,3.9402483283483494,0.7956989247311828,0.04388439683684936,3.6368318334598286,2.396097091711421,0.2582656493559767,0.0994434581994412,7.2302213542947
NC,269,4981845,194517,27855070.0,157200.0,30661.0,0.005399605969274436,3.9045173023247415,0.7231182795698925,0.04280330063409968,3.515071018106907,2.827811627509873,0.25793748461727783,0.11483262548407153,7.481574335922121
MI,244,4902081,203231,30508361.0,147995.835,25883.0,0.004977477932331187,4.145810728137703,0.6559139784946236,0.042117979739576,3.6725396653294298,3.097170388445218,0.24283507260644843,0.0969378965266698,7.807514981141964
NJ,271,4422943,183376,35365046.0,340854.165,37819.0,0.006127142040944232,4.14601770811878,0.728494623655914,0.03800129448356718,3.3137446239473776,3.590214933447359,0.5592815899581589,0.14164101181246863,8.371378077304845
OH,138,5754940,263349,29130040.0,133425.0,31392.0,0.002397939856888169,4.576051183852481,0.3709677419354838,0.04944562244534015,4.758917922584842,2.957244976294359,0.21892690130445483,0.11757039167659153,8.473073556241072
IL,243,6469683,278358,39857069.0,160154.165,26051.0,0.0037559800070575324,4.302498283146176,0.6532258064516129,0.055586592207570465,5.030142036213813,4.046239451441454,0.262784748543769,0.09756709587050479,10.145545730728722
PA,222,6424425,275788,40709545.0,156895.835,32974.0,0.003455562170933585,4.292804414402846,0.596774193548387,0.05519774193621556,4.983700169865192,4.1327817414078085,0.2574384034785462,0.12349535216437083,10.149387602400518
FL,413,10234772,365099,45961204.0,231079.17,31561.0,0.004035263316075825,3.5672411657045218,1.1102150537634408,0.08793569909089216,6.597618273157686,4.665923549485005,0.3791601772089589,0.118203336254616,12.9590560889606
TX,255,13848097,533882,60328843.0,170387.5,25868.0,0.0018414082454795053,3.8552733996591733,0.685483870967742,0.11898087136415803,9.647656221764429,6.124508167081167,0.27957584707523175,0.0968817180138274,16.953086696266556
NY,212,9574705,393647,88541099.0,190458.33,34774.0,0.002214167433879164,4.11132248983128,0.5698924731182795,0.0822644977107512,7.113502475694821,8.988580867493882,0.31250854048732457,0.1302367737054598,17.19698562821052
CA,416,19398212,815409,175016884.0,560075.0,36494.0,0.0021445275471780596,4.203526593069506,1.118279569892473,0.16666666666666666,14.735064512631464,17.767493658631864,0.9189843301337272,0.13667857651138926,34.84316731446758
